"DISTRICTE","CODI_ILLA","SECC_CENS","BARRI","NOM_DISTRICTE","NOM_BARRI","AEB","HABITANTS","NUM_PARC","NUM_LOCALS","NUM_VIVENDES","NUM_PARKINGS","NUM_ALTRES","SUP_CONS","SUP_SOBRE_RASANT","SUP_SOTA_RASANT","SUP_LOCALS","SUP_SERVEIS","SUP_SOL","DATA_DADES"
"07","28431","102","42","Horta-Guinardó","la Clota","153","25","17","35","17","2","9","1772","1772","0","","","9577","03/03/2023 00:02:11"
"07","28432","112","43","Horta-Guinardó","Horta","155","0","1","0","0","0","0","0","0","0","","","3371","03/03/2023 00:02:11"
"07","28433","118","43","Horta-Guinardó","Horta","155","0","1","0","0","0","0","0","0","0","","","2913","03/03/2023 00:02:11"
"07","28442","073","37","Horta-Guinardó","el Carmel","148","46","19","63","27","3","7","3933","3933","0","","","6642","03/03/2023 00:02:11"
"07","28443","??","??","Horta-Guinardó","??","??","21","29","56","12","0","21","5569","5569","0","","","17896","03/03/2023 00:02:11"
"07","28444","102","42","Horta-Guinardó","la Clota","153","35","14","24","15","0","3","1646","1646","0","","","1872","03/03/2023 00:02:11"
"07","28450","072","37","Horta-Guinardó","el Carmel","148","426","31","438","158","171","69","21349","18997","2352","","","5802","03/03/2023 00:02:11"
"07","28460","072","37","Horta-Guinardó","el Carmel","148","450","26","368","199","105","41","25820","22400","3420","","","7160","03/03/2023 00:02:11"
"07","28470","073","37","Horta-Guinardó","el Carmel","148","379","18","232","177","18","24","15040","14760","280","","","4004","03/03/2023 00:02:11"
"07","28480","073","37","Horta-Guinardó","el Carmel","148","736","16","438","254","92","39","24708","24426","282","","","6416","03/03/2023 00:02:11"
"07","28490","081","38","Horta-Guinardó","la Teixonera","149","384","29","324","167","73","45","18044","16558","1486","","","5551","03/03/2023 00:02:11"
"07","28500","082","38","Horta-Guinardó","la Teixonera","149","355","11","196","139","0","25","13733","13733","0","","","3391","03/03/2023 00:02:11"
"07","28510","082","38","Horta-Guinardó","la Teixonera","149","263","21","243","108","87","20","14024","11469","2555","","","3722","03/03/2023 00:02:11"
"07","28520","082","38","Horta-Guinardó","la Teixonera","149","269","28","401","115","256","12","16028","13662","2366","","","4168","03/03/2023 00:02:11"
"07","28530","085","38","Horta-Guinardó","la Teixonera","149","368","18","229","153","34","23","15752","14989","763","","","3790","03/03/2023 00:02:11"
"07","28540","085","38","Horta-Guinardó","la Teixonera","149","129","20","169","85","50","24","8375","7417","958","","","3777","03/03/2023 00:02:11"
"07","28552","073","37","Horta-Guinardó","el Carmel","148","0","2","8","0","0","8","7742","7742","0","","","8962","03/03/2023 00:02:11"
"07","28553","??","??","Horta-Guinardó","??","??","1666","59","1708","696","792","197","92249","70562","21687","","","42949","03/03/2023 00:02:11"
"07","28554","081","38","Horta-Guinardó","la Teixonera","149","801","36","631","332","172","72","34048","30565","3483","","","9185","03/03/2023 00:02:11"
"07","28570","102","42","Horta-Guinardó","la Clota","153","15","10","24","10","4","7","1461","1235","226","","","2513","03/03/2023 00:02:11"
"07","28581","102","42","Horta-Guinardó","la Clota","153","70","28","76","37","0","21","4770","4633","137","","","11867","03/03/2023 00:02:11"
"07","28583","102","42","Horta-Guinardó","la Clota","153","77","17","62","33","7","10","3716","3612","104","","","4402","03/03/2023 00:02:11"
"07","28584","102","42","Horta-Guinardó","la Clota","153","4","1","6","1","0","1","320","320","0","","","304","03/03/2023 00:02:11"
"07","28590","102","42","Horta-Guinardó","la Clota","153","48","21","57","16","3","15","2992","2992","0","","","12542","03/03/2023 00:02:11"
"07","28611","100","41","Horta-Guinardó","la Vall d'Hebron","152","0","3","8","1","0","7","3568","3568","0","","","33736","03/03/2023 00:02:11"
"07","28612","??","??","Horta-Guinardó","??","??","310","19","307","133","127","47","24817","15625","9192","","","68520","03/03/2023 00:02:11"
"07","28613","112","43","Horta-Guinardó","Horta","155","0","1","0","0","0","0","0","0","0","","","17828","03/03/2023 00:02:11"
"07","28614","112","43","Horta-Guinardó","Horta","155","0","1","0","0","0","0","0","0","0","","","4212","03/03/2023 00:02:11"
"07","28615","112","43","Horta-Guinardó","Horta","155","0","1","0","0","0","0","0","0","0","","","5546","03/03/2023 00:02:11"
"07","28616","111","43","Horta-Guinardó","Horta","154","0","1","0","0","0","0","0","0","0","","","730","03/03/2023 00:02:11"
"07","28621","098","41","Horta-Guinardó","la Vall d'Hebron","152","95","2","118","86","28","3","8976","6007","2969","","","9930","03/03/2023 00:02:11"
"07","28625","102","42","Horta-Guinardó","la Clota","153","0","1","0","0","0","0","0","0","0","","","2218","03/03/2023 00:02:11"
"07","28626","??","??","Horta-Guinardó","??","??","53","8","56","0","1","55","41797","38637","3160","","","85436","03/03/2023 00:02:11"
"07","28627","111","43","Horta-Guinardó","Horta","154","0","1","0","0","0","0","0","0","0","","","1594","03/03/2023 00:02:11"
"07","28628","111","43","Horta-Guinardó","Horta","154","0","1","0","0","0","0","0","0","0","","","777","03/03/2023 00:02:11"
"07","28629","103","43","Horta-Guinardó","Horta","154","0","1","0","0","0","0","0","0","0","","","1845","03/03/2023 00:02:11"
"07","28632","100","41","Horta-Guinardó","la Vall d'Hebron","152","749","10","378","339","0","39","26705","26685","20","","","12312","03/03/2023 00:02:11"
"07","28634","101","41","Horta-Guinardó","la Vall d'Hebron","152","0","1","3","0","0","3","40961","40961","0","","","30159","03/03/2023 00:02:11"
"07","28635","101","41","Horta-Guinardó","la Vall d'Hebron","152","0","2","0","0","0","0","0","0","0","","","59070","03/03/2023 00:02:11"
"07","28636","101","41","Horta-Guinardó","la Vall d'Hebron","152","0","1","5","0","0","5","2195","2061","134","","","10596","03/03/2023 00:02:11"
"07","28637","101","41","Horta-Guinardó","la Vall d'Hebron","152","0","5","4","0","0","4","14201","14201","0","","","62462","03/03/2023 00:02:11"
"07","28638","101","41","Horta-Guinardó","la Vall d'Hebron","152","43","6","41","5","0","29","14396","14396","0","","","39722","03/03/2023 00:02:11"
"07","28639","101","41","Horta-Guinardó","la Vall d'Hebron","152","0","3","4","0","0","4","19338","19338","0","","","39315","03/03/2023 00:02:11"
"07","28643","101","41","Horta-Guinardó","la Vall d'Hebron","152","1377","19","701","660","1","40","51987","51987","0","","","18612","03/03/2023 00:02:11"
"07","28645","101","41","Horta-Guinardó","la Vall d'Hebron","152","85","3","153","0","134","19","16451","12687","3764","","","14473","03/03/2023 00:02:11"
"07","28646","102","42","Horta-Guinardó","la Clota","153","22","11","24","8","1","10","1547","1547","0","","","5322","03/03/2023 00:02:11"
"07","28647","101","41","Horta-Guinardó","la Vall d'Hebron","152","0","3","261","0","229","32","24208","15650","8558","","","33186","03/03/2023 00:02:11"
"07","28648","100","41","Horta-Guinardó","la Vall d'Hebron","152","0","1","0","0","0","0","0","0","0","","","2476","03/03/2023 00:02:11"
"07","28649","102","42","Horta-Guinardó","la Clota","153","78","6","53","7","0","11","3239","3239","0","","","3435","03/03/2023 00:02:11"
"07","28652","102","42","Horta-Guinardó","la Clota","153","0","1","0","0","0","0","0","0","0","","","542","03/03/2023 00:02:11"
"07","28653","100","41","Horta-Guinardó","la Vall d'Hebron","152","0","1","0","0","0","0","0","0","0","","","7709","03/03/2023 00:02:11"
"07","28655","100","41","Horta-Guinardó","la Vall d'Hebron","152","0","2","0","0","0","0","0","0","0","","","5916","03/03/2023 00:02:11"
